ID;Empresa;Año_creacion;CNAE_SECTOR;num_cnae;CNAE;Objeto_social;CNAE_SECCIÓN;CNAE_DIVISIÓN;Sector;Localidad;Provincia;Ventas;Empleados;Telefono;Web;Email
234;Blinker España Sau;1992;Servicios;4674;4674 - comercio al por mayor de ferretería, fontanería y calefacción;venta y distribución de productos de fijación, automoción e industria.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Alicante;Alicante;Mayor 30 millones;Mas de 250;966102500;www.blinkergroup.com;blinker@blinker.es
235;Logisland Sa;1985;Servicios;4941;4941 - transporte de mercancías por carretera;transportes de mercancías urgentes por carretera;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Alicante;Alicante;Mayor 30 millones;Entre 50 y 250;965987770;www.seur.com;facturación.alicante@seur.net
236;Iberoforwarders Sl;2007;Servicios;5229;5229 - otras actividades anexas al transporte;actividades transitarias.;Transporte y almacenamiento;Almacenamiento y actividades anexas al transporte;transportes;Alicante;Alicante;Mayor 30 millones;Entre 25 y 50;965107788;www.iberoforwarders.com;ivan@iberoforwarders.com
237;Instalaciones Electricas Y Bobinajes Sa;1987;Construcción;4321;4321 - instalaciones eléctricas;servicios de instalaciones eléctricas a empresas y constructoras.;Construcción;Actividades de construcción especializada;fabricacion_industrial;Alicante;Alicante;Entre 6 y 30 millones;Mas de 250;965107316;www.inelbo.com;mariadolores.corcoleslopez@eiffage.com
238;Id Electroquimica Sl;1991;Industria;2640;2640 - fabricación de productos electrónicos de consumo;fabricación de productos electrónicos, principalmente aparatos de desinfección y tratamiento de agua de piscinas por electrolisis salina.;Industria manufacturera;Fabricación de productos informáticos, electrónicos y ópticos;fabricacion_industrial;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965101979;www.idegis.es;info@idegis.es
239;Grupo Energetico Barcelo Sl;2014;Servicios;6420;6420 - actividades de las sociedades holding;gestión de participaciones de otras sociedades del grupo.;Actividades financieras y de seguros;Servicios financieros, excepto seguros y fondos de pensiones;otros_comercios;Alicante;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965116548;----;administración@petroalacant.es
240;Comercial Tabarca Sociedad Limitada;1987;Servicios;4633;4633 - comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles;distribución de bebidas y productos de alimentación.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965200040;www.comercialtabarca.com;comercialtabarca@comercialtabarca.com
241;Cisternas Hurtrans Sl;1993;Servicios;4941;4941 - transporte de mercancías por carretera;el transporte nacional e internacional de mercancias por carretera, la de agencia de transportes y la venta al por mayor de agua no potable para usos industriales.;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965477872;www.hurtrans.com;hurtrans@hurtrans.com
242;Vectalia Oil Sl;2014;Servicios;4730;4730 - comercio al por menor de combustible para la automoción en establecimientos especializados;estacion de servicio con tienda y servicio de lavado.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;Combustibles;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965267011;www.vectalia.es;vrio@vectalia.es
243;Borjamotor Sa;2000;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;servicio oficial opel venta y reparación.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965288800;www.borjamotor.com;opel@borjamotor.com
244;Mundicar Sa;1982;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;venta y reparación de vehículos automóviles, concesionario oficial marcas ford, land rover y jaguar.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965287122;www.mundicar.com;contabilidad@grupomontalt.com
245;Leuka Car Sl;2008;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;venta y reparación de automóviles y vehículos de motor ligero. concesionario hyundai.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965992100; www.marcosautomocion.es;recepcion@grupomarcos.com
246;Hidroten Sa;1984;Industria;2229;2229 - fabricación de otros productos de plástico;fabricación y distribución de material de fontanería, accesorios y válvulas para la conducción de fluidos en plástico y pvc.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965114282;www.hidroten.es;administración@hidroten.es
247;Automoviles Sala Rodriguez Sl;2013;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;venta de automóviles nuevos marca seat y de segunda mano multimarca;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965263100;www.gruposala.com;ehernandez@gruposala.com
248;Dredging International España, Sa;2011;Construcción;4311;4311 - demolición;dragados y obra marítima.;Construcción;Actividades de construcción especializada;naval;Alicante;Alicante;Entre 6 y 30 millones;Entre 5 y 25;915726481;www.deme-group.com;dredging.international.spain@deme-group.com
249;Alimotor Sa;1987;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;gestión de concesionario oficial alfa romeo, jeep y fiat.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965101811;www.alimotor.com;ventas@alimotor.com
250;Algar-motor Sl;1994;Servicios;4519;4519 - venta de otros vehículos de motor;concesionario oficial iveco y servicio postventa;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965110284;www.algarmotor.com;administracion@algarmotor.com
251;Terminales Maritimas Del Sureste Sa;2003;Servicios;5222;5222 - actividades anexas al transporte marítimo y por vías navegables interiores;estiba y desestiba de barcos.;Transporte y almacenamiento;Almacenamiento y actividades anexas al transporte;transportes;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965984923;www.tmsalc.com;----
252;Sabater-fundimol S.l;1997;Industria;2454;2454 - fundición de otros metales no férreos;almacenaje de aluminio principalmente.;Industria manufacturera;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";metal;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965112600;www.sabater-fundimol.com;benedicto@sabater-fundimol.com
253;Caypre Sociedad Limitada;1978;Servicios;4754;4754 - comercio al por menor de aparatos electrodomésticos en establecimientos especializados;plataforma de distribución de electrodomésticos de gama blanca, marrón y pae.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;otros_comercios;Alicante;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965107014;www.caypre.com;admin@caypre.com
254;Instituto Bernabeu Sl;1999;Servicios;8622;8622 - actividades de medicina especializada;gestión y explotación de consultorio médico.;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965154000;www.institutobernabeu.com;info@institutobernabeu.com
255;Especialidades Farmaceuticas Centrum Sa;1969;Industria;2120;2120 - fabricación de especialidades farmacéuticas;laboratorio farmaceútico;Industria manufacturera;Fabricación de productos farmacéuticos;sanitario;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965286700;www.asac.net;asac@asac.net
256;Bombon Boss Sl;2002;Servicios;4724;4724 - comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados;comercio al por menor de pan y productos de confitería tanto dulces como salados.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;alimentacion;Alicante;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965211955; www.bombonboss.com;bombonboss@bombonboss.com
257;Exclusivas Ramirez Sl;1988;Servicios;4617;4617 - intermediarios del comercio de productos alimenticios, bebidas y tabaco;comercio mayor bebidas y tabaco;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965287693;www.exclusivasramirez.es;info@exclusivasramirez.es
258;Llorca Group Hispania Sl;2013;Construcción;4121;4121 - construcción de edificios residenciales;construcción de todo tipo de edificaciones así como reformas y rehabilitaciones en general.;Construcción;Construcción de edificios;construccion;Alicante;Alicante;Entre 6 y 30 millones;Entre 50 y 250;966445349;www.llorcagroup.com;info@llorcagroup.com
259;Capanesa Slu;1989;Servicios;5510;5510 - hoteles y alojamientos similares;explotación y gestión de hotel y tres restaurantes.;Hostelería;Servicios de alojamiento;hotelero;Calp;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965831712;www.unitursa.com;administración@unitursa.com
260;Construcciones Y Servicios Soy Y Mar Sl;1975;Servicios;5510;5510 - hoteles y alojamientos similares;explotacion de hotel 4 estrellas superior;Hostelería;Servicios de alojamiento;hotelero;Calp;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965830284;www.granhotelsolymar.com;proveedores@gruposolymar.com
261;Crea Alimentacion Sl;2007;Servicios;4639;4639 - comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco;gestión de diez supermercados;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Calp;Alicante;Entre 6 y 30 millones;Menos de 5;965830284;www.gruposolymar.com;info@gruposolymar.com
262;Casiano Tenza Sl;1994;Construcción;4121;4121 - construcción de edificios residenciales;promoción y construcción de villas de lujo.;Construcción;Construcción de edificios;construccion;Calp;Alicante;Entre 6 y 30 millones;Entre 50 y 250;965838419;www.casianotenza.com;info@grupotenza.com
263;Saneamientos Loga Sl;1990;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;comercio al por mayor de saneamientos, fontanería y construcción;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Calp;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965831803;www.saneamientosloga.es;administración@saneloga.com
264;Brico Aitana Sl;1999;Servicios;4752;4752 - comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;comercio al por mayor de bricolaje, fontanería y electricidad.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;otros_comercios;Calp;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965832729;www.bricoaitana.com;contabilidad@bricoaitana.com
265;Pescados Calpe Sl;2002;Servicios;4638;4638 - comercio al por mayor de pescados, mariscos y otros productos alimenticios;comercio al por mayor de pescados y mariscos frescos y congelados.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;alimentacion;Calp;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965830062;----;cp@pescadoscalpe.com
266;Ancomaro Sl;1996;Servicios;4520;4520 - mantenimiento y reparación de vehículos de motor;reparación de embarcaciones.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;naval;Calp;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965837279;www.ancomaro.es;info@ancomaro.es
267;Muebles Aitana Sl;1995;Servicios;4759;4759 - comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados;comercio al por menor de muebles de hogar en general.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;otros_comercios;Calp;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965832729;www.muebles-aitana.es;muebles@galerias-aitana.es
268;Matias Pastor Y Hermanos Sl;1993;Industria;2599;2599 - fabricación de otros productos metálicos n.c.o.p.;transformados metálicos.;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Calp;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965830867;www.matiaspastor.com;info@matiaspastor.com
269;Feeling Street Sl;2016;Servicios;4772;4772 - comercio al por menor de calzado y artículos de cuero en establecimientos especializados;el comercio al por menor de calzado y sus complementos, ropa, gafas y bistutería;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;calzado;Calp;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;966634519;www.keslem.es;genesis@kamome.es
270;Balearia Eurolineas Maritimas Sa;1998;Servicios;5010;5010 - transporte marítimo de pasajeros;transporte marítimo regular de pasajeros y mercancías.;Transporte y almacenamiento;Transporte marítimo y por vías navegables interiores;transportes;Denia;Alicante;Mayor 30 millones;Mas de 250;966428600;www.balearia.com;info@balearia.com
271;Peumovil Sl;1991;Servicios;4520;4520 - mantenimiento y reparación de vehículos de motor;comercio al por menor y reparación de vehículos en concesionario, concesionario peugeot;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Denia;Alicante;Entre 6 y 30 millones;Entre 25 y 50;966425504;www.peumovil.com/es;peumovil@peumovil.redpeugeot.com
272;Hospital San Carlos De Denia Grupo Hla Slu;2016;Servicios;8610;8610 - actividades hospitalarias;clínica hospitalaria;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Denia;Alicante;Entre 6 y 30 millones;Entre 50 y 250 ;965781550;www.grupohla.com;hospitalsancarlos@grupohla.com
273;Jose Borrell Sa;1991;Industria;2830;2830 - fabricación de maquinaria agraria y forestal;maquinaria para procesado de frutos secos;Industria manufacturera;Fabricación de maquinaria y equipo n.c.o.p.;fabricacion_industrial;Denia;Alicante;Entre 6 y 30 millones;Entre 50 y 250 ;966427070;www.jborrell.com;mail@jborrel.com
274;Puga Autoservicios Mayorista Sl;1997;Servicios;4639;4639 - comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco;comercio mayor y menor de alimentos (conservas, pastas legumbres, frutos secos, quesos, congelados....), productos de un solo uso (mantelerías, papel....), y productos de limpieza todo para hostelería;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Denia;Alicante;Entre 6 y 30 millones;Entre 25 y 50;965792735;www.puga.es;mail@puga.es
275;Gasolineras Teckmar Sl;2015;Servicios;4730;4730 - comercio al por menor de combustible para la automoción en establecimientos especializados;el comercio de combustible para vehículos;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;Combustibles;Denia;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966431165;----;teckmardenia@gmail.com
276;Transavella Sa;1988;Servicios;4941;4941 - transporte de mercancías por carretera;transporte de mercancías en general por carretera principalmente a nivel internacional.;Transporte y almacenamiento;Transporte terrestre y por tubería;transportes;Denia;Alicante;Entre 6 y 30 millones;Entre 50 y 250 ;966435340;www.transavella.com;transavella@transavella.com
277;Auto-denia Motors Sl;2011;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial opel, venta, reparación y servicio post-venta;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Denia;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966422621;www.autodeniamotors.com;gerencia@autodenia.com
278;Novelec Marina Sl;2013;Servicios;4669;4669 - comercio al por mayor de otra maquinaria y equipo;comercio al por mayor de material eléctrico y de fontanería.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;fabricacion_industrial;Denia;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965787982;www.gruponovelec.com;marina@gruponovelec.com
279;Todo Telecom Sl;2002;Servicios;4652;4652 - comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes;distribuidores de telecomunicaciones, cámaras y cctv, redes wifi, tv y telefonía.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;telecomunicaciones;Denia;Alicante;Entre 6 y 30 millones;Entre 5 y 25;965784463;www.todotelecom.com;webinfo@todotelecom.com
280;Fresh Baby Sl;2013;Servicios;4759;4759 - comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados;especializados en comercio de puericultura;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;otros_comercios;Denia;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966430277;----;inukisbaby@gmail.com
281;Marina De Denia S.a.;1994;Servicios;9329;9329 - otras actividades recreativas y de entretenimiento;alquiler de amarres, de puntos de atraque y locales comerciales;Actividades artísticas, recreativas y de entrenimiento;Actividades deportivas, recreativas y de entretenimiento;naval;Denia;Alicante;Entre 6 y 30 millones;Entre 5 y 25;966424307;www.marinadedenia.com;mar@marinadedenia.com
282;Varadero Port Denia Sl;1998;Industria;3315;3315 - reparación y mantenimiento naval;servicios de reparación y mantenimiento de embarcaciones.;Industria manufacturera;Reparación e instalación de maquinaria y equipo;naval;Denia;Alicante;Entre 3 y 6 millones;Entre 25 y 50;965780146;www.varaderoportdenia.com;info@varaderoportdenia.com
283;Roga Nautica Sl;1991;Servicios;4764;4764 - comercio al por menor de artículos deportivos en establecimientos especializados;compra-venta de embarcaciones.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;naval;Denia;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965784320;www.sportnautic.com;denia@sportnautic.com
284;Juguetes Cayro Sl;1975;Industria;3240;3240 - fabricación de juegos y juguetes;fabricación y comercialización de juegos y juguetes;Industria manufacturera;Otras industrias manufactureras;juguetes;Denia;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965781482;www.cayro.es;cayro@cayro.es
285;Fenix Denia Sa;1998;Servicios;9200;9200 - actividades de juegos de azar y apuestas;gestión y explotación de salas de bingo.;Actividades artísticas, recreativas y de entrenimiento;Actividades de juegos de azar y apuestas;juegos de azar;Denia;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965986363;----;rrhh@brgconsultoria.com
286;Jose Pereto Sl;1992;Servicios;7739;7739 - alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.;alquiler de generadores de electrógenos.;Actividades administrativas y servicios auxiliares;Actividades de alquiler;fabricacion_industrial;Denia;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965786927;www.pereto.es;alberto@pereto.es
287;Hermanos Pons Sl;1982;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;comercio al por mayor de materiales de construcción en general y sanitarios;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Denia;Alicante;Entre 3 y 6 millones;Entre 5 y 25;965766033;www.hermanospons.com;contabilidad@hermanospons.com
288;Innova Cruceros Sl;1996;Servicios;7911;7911 - actividades de las agencias de viajes;a. la promocion, construccion, explotacion, venta o arrendamiento de apartamentos, viviendas, locales y edificios de todas clases, programas de adquisicion, transformacion, parcelacion, urbanizacion y enajenacion de terr;Actividades administrativas y servicios auxiliares;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;agencias de viajes;Denia;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966423066;www.mundomarino.es;info@mundomarino.es
289;Puerto Natura Sa;2004;Servicios;5222;5222 - actividades anexas al transporte marítimo y por vías navegables interiores;a.- el transporte publico de mercancias por carretera, operaciones de estibadores de puerto, carga, descarga, estiba, desestiba, trasbordo, almacenaje, clasificacion, formacion, manipulacion, recepcion, entrega y reexped;Transporte y almacenamiento;Almacenamiento y actividades anexas al transporte;transportes;Denia;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966428600;www.baleariaport.com;pepa.ivar@balearia.com
290;Maremoto Jets Sl;1998;Servicios;4511;4511 - venta de automóviles y vehículos de motor ligeros;concesionario oficial brp. comercialización y reparación de motos de agua y otros vehículos de motor.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Denia;Alicante;Entre 3 y 6 millones;Entre 5 y 25;966422765;www.maremoto.center;info@maremoto.com
291;Arribamar Alta Restauracion Sl;2012;Servicios;5610;5610 - restaurantes y puestos de comidas;explotación de restaurante.;Hostelería;Servicios de comidas y bebidas;restaurantes;Denia;Alicante;Entre 3 y 6 millones;Entre 25 y 50;966421441;www.eventoselpoblet.com;info@eventoselpoblet.com
292;Sellesmar Sl;1994;Servicios;5510;5510 - hoteles y alojamientos similares;hotel de 4 estrellas, restaurante y spa;Hostelería;Servicios de alojamiento;hotelero;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965780458;www.hotellosangelesdenia.com;info@hotellosangelesdenia.com
293;Vicente Moscardo Sl;1977;Servicios;4730;4730 - comercio al por menor de combustible para la automoción en establecimientos especializados;gestión de estación de servicio con tienda boxes y túnel de lavado;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por menor, excepto de vehículos de motor y motocicletas;Combustibles;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965400121;----;crevillente@moscardo.es
294;Tent Costa Sl;1989;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;almacén y comercio al por mayor y menor de material de construcción.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965785864;www.tentcosta.com;almacen@tentcosta.com
295;Marti Roig Hotels Sl;1999;Servicios;5510;5510 - hoteles y alojamientos similares;hotel de 3 estrellas.;Hostelería;Servicios de alojamiento;hotelero;Denia;Alicante;Entre 1,5 y 3 millones;Entre 25 y 50;965780336;www.hotelcostablancadenia.com;laracona@hotel-laracona.com
296;Saneamientos Ferrer Sl;1980;Servicios;4673;4673 - comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;comercio al por mayor de saneamientos de baño;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965785490;www.saneamientosferrer.com;info@saneamientosferrer.com
297;Restaurant Casa Federico Sl;2012;Servicios;5610;5610 - restaurantes y puestos de comidas;explotación de un restaurante;Hostelería;Servicios de comidas y bebidas;restaurantes;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965783041;----;sole@cerveraynavarro.com
298;Plastimyr Sa;1980;Industria;3109;3109 - fabricación de otros muebles;fabricación y comercialización puericultura.;Industria manufacturera;Fabricación de muebles;fabricacion_industrial;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965780254;www.plastimyr.com;info@plastimyr.com
299;Androna Nautica Sl;1995;Servicios;4614;4614 - intermediarios del comercio de maquinaria, equipo industrial, embarcaciones y aeronaves;comercio y reparacion de embarcaciones.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;naval;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965782390;www.androna.es;info@androna.es
300;Policlinica Glorieta Sl;2003;Servicios;8621;8621 - actividades de medicina general;a) la mediacion, coordinacion y suministro de medios necesarios para el desarrollo de la actividad medica y sanitaria.- b) la venta de productos de parafarmacia y naturopatia.- c) alquiler de bienes inmuebles, muebles e;Actividades sanitarias y de servicios sociales;Actividades sanitarias;sanitario;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;966435437;www.pglorieta.com;denia@pglorieta.com
301;Vinivars Vinos Sl;2006;Servicios;4634;4634 - comercio al por mayor de bebidas;comercio al por mayor de vino.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;bebidas;Denia;Alicante;Entre 1,5 y 3 millones;Menos de 5;966420210;www.vinivars.com;info@vinivars.com
302;Vall De Cavall Sl;2006;Servicios;8551;8551 - educación deportiva y recreativa;"la actividad de un centro hipico, el cuidado, adiestramiento, mantenimiento; compraventa y transporte de caballos. la construccion y explotacion de hoteles, casas de alojamiento, pensiones, fondas, casas rurales, sus bar";Educación;Educación;educacion_deporte;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965058475;----;valldecavall@gmail.com
303;Auto Recambios Denia Sl;1989;Servicios;4532;4532 - comercio al por menor de repuestos y accesorios de vehículos de motor;comercio al por menor de recambios para vehículos.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965781561;----;comercial@autorecdenia.com
304;Fuego Difusion Sl;2004;Servicios;4643;4643 - comercio al por mayor de aparatos electrodomésticos;distribución e instalación de chimeneas y estufas.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;otros_comercios;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;966423330;www.fuegodifusion.es;info@fuegodifusion.es
305;Socoal Sl;1975;Industria;2512;2512 - fabricación de carpintería metálica;fabricacion y venta de productos de aluminio y pvc;Industria manufacturera;Fabricación de productos metálicos, excepto maquinaria y equipo;metal;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;962963728;www.socoal.es;socoal@socoal.es
306;Aplidex Sa;1980;Industria;2229;2229 - fabricación de otros productos de plástico;transformación de co-polímero e.v.a.;Industria manufacturera;Fabricación de productos de caucho y plásticos;plastico;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965780139;www.aplidex.com;aplidex@aplidex.com
307;Anacrisan Sl;2000;Servicios;5610;5610 - restaurantes y puestos de comidas;la explotacion de negocios de hosteleria, en particular, el de bar-restaurante.;Hostelería;Servicios de comidas y bebidas;restaurantes;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;965786072;----;contabilidad1@aselull.com
308;Eurodenia Motor Sl;2002;Servicios;4520;4520 - mantenimiento y reparación de vehículos de motor;concesionario de venta y reparación de vehículos, marca volkswagen y skoda.;"Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";Venta y reparación de vehículos de motor y motocicletas;motor;Denia;Alicante;Entre 1,5 y 3 millones;Entre 5 y 25;966420115;www.grupojosejorro.com;josejorro@josejorro.com
